gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
828,201707160OTT,1,2017,07/16/2017,13,0,TOR,Rush,30,1670.2943440118627,1678.215969302568,OTT,Outlaws,25,1407.075462711898,1399.1538374211925,A,W,0.7589252188034515
829,201707210SDX,0,2017,07/21/2017,14,0,SD,Growlers,23,1459.2401402912944,1466.516850847363,SJ,Spiders,22,1538.0917808335507,1530.8150702774822,H,W,0.47863977981372474
829,201707210SDX,1,2017,07/21/2017,13,0,SJ,Spiders,22,1538.0917808335507,1530.8150702774822,SD,Growlers,23,1459.2401402912944,1466.516850847363,A,L,0.5213602201862753
830,201707220PHI,0,2017,07/22/2017,14,0,PHI,Phoenix,20,1362.5536952226057,1356.4888511394092,DC,Breeze,23,1627.968692776242,1634.0335368594385,H,L,0.23876943171931192
830,201707220PHI,1,2017,07/22/2017,14,0,DC,Breeze,23,1627.968692776242,1634.0335368594385,PHI,Phoenix,20,1362.5536952226057,1356.4888511394092,A,W,0.7612305682806881
831,201707220OTT,0,2017,07/22/2017,13,0,OTT,Outlaws,25,1399.1538374211925,1384.0685636660396,NY,Empire,29,1482.1454706328811,1497.230744388034,H,L,0.4726960318480777
831,201707220OTT,1,2017,07/22/2017,13,0,NY,Empire,29,1482.1454706328811,1497.230744388034,OTT,Outlaws,25,1399.1538374211925,1384.0685636660396,A,W,0.5273039681519223
832,201707220CHI,0,2017,07/22/2017,14,0,CHI,Wildfire,19,1408.3379790931197,1389.200237601148,IND,Alleycats,26,1496.5394295398153,1515.6771710317869,H,L,0.46522753532543143
832,201707220CHI,1,2017,07/22/2017,13,0,IND,Alleycats,26,1496.5394295398153,1515.6771710317869,CHI,Wildfire,19,1408.3379790931197,1389.200237601148,A,W,0.5347724646745686
833,201707220MIN,0,2017,07/22/2017,14,0,MIN,Windchill,19,1590.6258399734288,1607.1725123518634,PIT,Thunderbirds,13,1608.545212539439,1591.9985401610045,H,W,0.5659292213496443
833,201707220MIN,1,2017,07/22/2017,14,0,PIT,Thunderbirds,13,1608.545212539439,1591.9985401610045,MIN,Windchill,19,1590.6258399734288,1607.1725123518634,A,L,0.4340707786503557
834,201707220SEA,0,2017,07/22/2017,14,0,SEA,Cascades,24,1568.3159788056034,1547.2677086201795,SF,Flamethrowers,30,1608.0480387684775,1629.0963089539014,H,L,0.5348676868323509
834,201707220SEA,1,2017,07/22/2017,13,0,SF,Flamethrowers,30,1608.0480387684775,1629.0963089539014,SEA,Cascades,24,1568.3159788056034,1547.2677086201795,A,W,0.46513231316764914
835,201707220LAX,0,2017,07/22/2017,14,0,LA,Aviators,24,1555.824266397015,1560.8158729331672,SJ,Spiders,23,1530.8150702774822,1525.82346374133,H,W,0.6253637957056143
835,201707220LAX,1,2017,07/22/2017,14,0,SJ,Spiders,23,1530.8150702774822,1525.82346374133,LA,Aviators,24,1555.824266397015,1560.8158729331672,A,L,0.3746362042943857
836,201707230MTL,0,2017,07/23/2017,14,0,MTL,Royal,31,1546.8857258678668,1555.786862182802,OTT,Outlaws,22,1384.0685636660396,1375.1674273511044,H,W,0.7867867724578108
836,201707230MTL,1,2017,07/23/2017,14,0,OTT,Outlaws,22,1384.0685636660396,1375.1674273511044,MTL,Royal,31,1546.8857258678668,1555.786862182802,A,L,0.2132132275421892
837,201707230MAD,0,2017,07/23/2017,14,0,MAD,Radicals,22,1717.6479742554775,1719.84745195489,IND,Alleycats,21,1515.6771710317869,1513.4776933323744,H,W,0.8221600384577167
837,201707230MAD,1,2017,07/23/2017,14,0,IND,Alleycats,21,1515.6771710317869,1513.4776933323744,MAD,Radicals,22,1717.6479742554775,1719.84745195489,A,L,0.17783996154228332
838,201707230TOR,0,2017,07/23/2017,14,0,TOR,Rush,20,1678.215969302568,1685.0864467667784,NY,Empire,14,1497.230744388034,1490.3602669238237,H,W,0.8038051068257953
838,201707230TOR,1,2017,07/23/2017,14,0,NY,Empire,14,1497.230744388034,1490.3602669238237,TOR,Rush,20,1678.215969302568,1685.0864467667784,A,L,0.1961948931742047
839,201707230VAN,0,2017,07/23/2017,14,0,VAN,Riptide,18,1356.8693991886532,1347.5672225140647,SF,Flamethrowers,26,1629.0963089539014,1638.3984856284899,H,L,0.23171538165799446
839,201707230VAN,1,2017,07/23/2017,14,0,SF,Flamethrowers,26,1629.0963089539014,1638.3984856284899,VAN,Riptide,18,1356.8693991886532,1347.5672225140647,A,W,0.7682846183420056
840,201707290DAL,0,2017,07/29/2017,15,1,DAL,Roughnecks,22,1713.860775522722,1723.9451492177457,JAX,Cannons,12,1568.2588061006666,1558.1744324056428,H,W,0.7696907652195909
840,201707290DAL,1,2017,07/29/2017,15,1,JAX,Cannons,12,1568.2588061006666,1558.1744324056428,DAL,Roughnecks,22,1713.860775522722,1723.9451492177457,A,L,0.2303092347804091
841,201708040MIN,0,2017,08/04/2017,15,1,MIN,Windchill,25,1607.1725123518634,1598.3715446795525,PIT,Thunderbirds,26,1591.9985401610045,1600.7995078333154,H,L,0.6120083293088493
841,201708040MIN,1,2017,08/04/2017,15,1,PIT,Thunderbirds,26,1591.9985401610045,1600.7995078333154,MIN,Windchill,25,1607.1725123518634,1598.3715446795525,A,W,0.3879916706911507
842,201708110DCX,0,2017,08/11/2017,15,1,DC,Breeze,28,1634.0335368594385,1648.7782079285043,MTL,Royal,16,1555.786862182802,1541.0421911137362,H,W,0.6939895564847672
842,201708110DCX,1,2017,08/11/2017,15,1,MTL,Royal,16,1555.786862182802,1541.0421911137362,DC,Breeze,28,1634.0335368594385,1648.7782079285043,A,L,0.30601044351523277
843,201708120RAL,0,2017,08/12/2017,15,1,RAL,Flyers,24,1668.7176530504578,1654.4478533913207,DAL,Roughnecks,27,1723.9451492177457,1738.2149488768828,H,L,0.5126219656788701
