date,season,neutral,playoff,team1,team2,score1,score2
07/26/2015,2015,0,1,SJ,SEA,21,19
08/08/2015,2015,1,1,MAD,RAL,22,19
08/08/2015,2015,1,1,SJ,TOR,25,20
08/09/2015,2015,1,1,SJ,MAD,17,15
04/02/2016,2016,0,0,RAL,CHA,23,18
04/02/2016,2016,0,0,DAL,AUS,30,18
04/02/2016,2016,0,0,SD,SF,23,25
04/02/2016,2016,0,0,CIN,DET,12,15
04/02/2016,2016,0,0,ATL,NSH,26,16
04/02/2016,2016,0,0,SEA,VAN,25,21
04/03/2016,2016,0,0,LA,SF,16,19
04/08/2016,2016,0,0,CIN,IND,17,22
04/08/2016,2016,0,0,SJ,SEA,26,25
04/09/2016,2016,0,0,SF,SEA,27,18
04/09/2016,2016,0,0,AUS,DAL,18,29
04/09/2016,2016,0,0,LA,SD,21,20
04/09/2016,2016,0,0,MAD,MIN,25,11
04/09/2016,2016,0,0,RAL,TB,24,19
04/09/2016,2016,0,0,DET,PIT,16,25
04/09/2016,2016,0,0,NY,OTT,24,19
04/09/2016,2016,0,0,ATL,CHA,18,16
04/10/2016,2016,0,0,CHI,MIN,11,17
04/10/2016,2016,0,0,DC,OTT,28,17
04/15/2016,2016,0,0,DET,CIN,20,19
04/16/2016,2016,0,0,SD,LA,19,17
04/16/2016,2016,0,0,SJ,SF,27,32
04/16/2016,2016,0,0,TB,NSH,31,22
04/16/2016,2016,0,0,VAN,SEA,34,24
04/16/2016,2016,0,0,MIN,CHI,22,21
04/16/2016,2016,0,0,IND,MAD,25,32
04/16/2016,2016,0,0,CHA,AUS,21,20
04/16/2016,2016,0,0,PHI,MTL,17,25
04/16/2016,2016,0,0,CIN,PIT,16,25
04/17/2016,2016,0,0,ATL,NSH,21,22
04/17/2016,2016,0,0,RAL,AUS,28,27
04/17/2016,2016,0,0,NY,MTL,21,19
04/23/2016,2016,0,0,DC,TOR,24,25
04/23/2016,2016,0,0,CHI,CIN,27,19
04/23/2016,2016,0,0,NSH,RAL,18,20
04/23/2016,2016,0,0,CHA,ATL,19,24
04/23/2016,2016,0,0,SF,SD,31,14
04/23/2016,2016,0,0,PIT,DET,26,16
04/23/2016,2016,0,0,DAL,TB,32,17
04/24/2016,2016,0,0,PHI,TOR,16,24
04/24/2016,2016,0,0,AUS,TB,28,23
04/24/2016,2016,0,0,IND,CIN,35,14
04/30/2016,2016,0,0,NY,PHI,28,16
04/30/2016,2016,0,0,TB,ATL,23,18
04/30/2016,2016,0,0,TOR,DC,24,23
04/30/2016,2016,0,0,PIT,MAD,18,22
04/30/2016,2016,0,0,RAL,DAL,18,24
04/30/2016,2016,0,0,SD,SEA,17,25
04/30/2016,2016,0,0,IND,MIN,20,21
05/01/2016,2016,0,0,LA,SEA,17,26
05/01/2016,2016,0,0,CIN,MIN,26,32
05/01/2016,2016,0,0,CHA,DAL,18,30
05/01/2016,2016,0,0,MTL,DC,18,26
05/01/2016,2016,0,0,TOR,OTT,32,15
05/06/2016,2016,0,0,SF,SJ,32,25
05/06/2016,2016,0,0,OTT,MTL,31,24
05/06/2016,2016,0,0,SEA,SD,23,19
05/07/2016,2016,0,0,PIT,CIN,31,14
05/07/2016,2016,0,0,NSH,CHA,24,26
05/07/2016,2016,0,0,DAL,AUS,24,16
05/07/2016,2016,0,0,DC,NY,23,22
05/07/2016,2016,0,0,MIN,IND,24,23
05/07/2016,2016,0,0,DET,CHI,13,18
05/07/2016,2016,0,0,MTL,TOR,31,27
05/07/2016,2016,0,0,ATL,RAL,25,23
05/07/2016,2016,0,0,VAN,SD,27,19
05/13/2016,2016,0,0,MAD,CHI,18,11
05/14/2016,2016,0,0,TOR,NY,22,14
05/14/2016,2016,0,0,PHI,DC,15,24
05/14/2016,2016,0,0,VAN,SF,18,22
05/14/2016,2016,0,0,TB,RAL,25,24
