,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
81,41,201604240AUS,1,2016,04/24/2016,4,0,JAX,23,1488.0196741359832,1473.3593598785492,AUS,28,1444.386674540562,1459.046988797996,A,L,0.4195856575888811
82,42,201604240IND,0,2016,04/24/2016,3,0,IND,35,1494.6993974827017,1509.8082602449224,CIN,14,1416.7391988499035,1401.6303360876827,H,W,0.735832910467034
83,42,201604240IND,1,2016,04/24/2016,6,0,CIN,14,1416.7391988499035,1401.6303360876827,IND,35,1494.6993974827017,1509.8082602449224,A,L,0.26416708953296597
84,43,2016043000NY,0,2016,04/30/2016,3,0,NY,28,1520.446379801855,1533.0733764983913,PHI,16,1444.0179970987426,1431.3910004022064,H,W,0.7341153127656439
85,43,2016043000NY,1,2016,04/30/2016,3,0,PHI,16,1444.0179970987426,1431.3910004022064,NY,28,1520.446379801855,1533.0733764983913,A,L,0.2658846872343561
86,44,201604300JAX,0,2016,04/30/2016,5,0,JAX,23,1473.3593598785492,1489.031502123925,ATL,18,1534.9662313097435,1519.2940890643677,H,W,0.5550283481572335
87,44,201604300JAX,1,2016,04/30/2016,5,0,ATL,18,1534.9662313097435,1519.2940890643677,JAX,23,1473.3593598785492,1489.031502123925,A,L,0.44497165184276655
88,45,201604300TOR,0,2016,04/30/2016,3,0,TOR,24,1536.1946810146742,1540.4057172132764,DC,23,1506.5739452195728,1502.3629090209706,H,W,0.6783407385583768
89,45,201604300TOR,1,2016,04/30/2016,3,0,DC,23,1506.5739452195728,1502.3629090209706,TOR,24,1536.1946810146742,1540.4057172132764,A,L,0.32165926144162316
90,46,201604300PIT,0,2016,04/30/2016,4,0,PIT,18,1569.4158781956519,1546.596107292157,MAD,22,1546.8351242200508,1569.6548951235457,H,L,0.6694351727414696
91,46,201604300PIT,1,2016,04/30/2016,3,0,MAD,22,1546.8351242200508,1569.6548951235457,PIT,18,1569.4158781956519,1546.596107292157,A,W,0.3305648272585304
92,47,201604300RAL,0,2016,04/30/2016,5,0,RAL,18,1540.3603698646666,1515.8262460218282,DAL,24,1563.7792943578095,1588.313418200648,H,L,0.6084582403045895
93,47,201604300RAL,1,2016,04/30/2016,4,0,DAL,24,1563.7792943578095,1588.313418200648,RAL,18,1540.3603698646666,1515.8262460218282,A,W,0.3915417596954105
94,48,2016043000SD,0,2016,04/30/2016,5,0,SD,17,1474.2102892841647,1444.8176304842757,SEA,25,1475.1965779588832,1504.5892367587721,H,L,0.6387559618624072
95,48,2016043000SD,1,2016,04/30/2016,5,0,SEA,25,1475.1965779588832,1504.5892367587721,SD,17,1474.2102892841647,1444.8176304842757,A,W,0.36124403813759276
96,49,201604300IND,0,2016,04/30/2016,4,0,IND,20,1509.8082602449224,1500.582968016145,MIN,21,1512.7799126667744,1522.0052048955517,H,L,0.6361146726689879
97,49,201604300IND,1,2016,04/30/2016,4,0,MIN,21,1512.7799126667744,1522.0052048955517,IND,20,1509.8082602449224,1500.582968016145,A,W,0.3638853273310121
98,50,2016050100LA,0,2016,05/01/2016,4,0,LA,17,1479.1740829261007,1450.3009098022849,SEA,26,1504.5892367587721,1533.462409882588,H,L,0.6057172227395458
99,50,2016050100LA,1,2016,05/01/2016,6,0,SEA,26,1504.5892367587721,1533.462409882588,LA,17,1479.1740829261007,1450.3009098022849,A,W,0.39428277726045424
100,51,201605010CIN,0,2016,05/01/2016,7,0,CIN,26,1401.6303360876827,1383.4791830747256,MIN,32,1522.0052048955517,1540.1563579085089,H,L,0.4707117738174905
101,51,201605010CIN,1,2016,05/01/2016,5,0,MIN,32,1522.0052048955517,1540.1563579085089,CIN,26,1401.6303360876827,1383.4791830747256,A,W,0.5292882261825095
102,52,201605010CHA,0,2016,05/01/2016,5,0,CHA,18,1462.84580698027,1439.345152070363,DAL,30,1588.313418200648,1611.814073110555,H,L,0.46341466381572555
103,52,201605010CHA,1,2016,05/01/2016,5,0,DAL,30,1588.313418200648,1611.814073110555,CHA,18,1462.84580698027,1439.345152070363,A,W,0.5365853361842745
104,53,201605010MTL,0,2016,05/01/2016,3,0,MTL,18,1521.357889439142,1490.4706797796835,DC,26,1502.3629090209706,1533.250118680429,H,L,0.6648515400788674
105,53,201605010MTL,1,2016,05/01/2016,4,0,DC,26,1502.3629090209706,1533.250118680429,MTL,18,1521.357889439142,1490.4706797796835,A,W,0.3351484599211326
106,54,201605010TOR,0,2016,05/01/2016,4,0,TOR,32,1540.4057172132764,1555.1321183404864,OTT,15,1471.4091074260134,1456.6827062988034,H,W,0.7256817613558362
107,54,201605010TOR,1,2016,05/01/2016,3,0,OTT,15,1471.4091074260134,1456.6827062988034,TOR,32,1540.4057172132764,1555.1321183404864,A,L,0.2743182386441638
108,55,2016050600SF,0,2016,05/06/2016,6,0,SF,32,1582.2505918723368,1591.4662636719088,SJ,25,1483.5350097818848,1474.3193379823128,H,W,0.7583947518646236
109,55,2016050600SF,1,2016,05/06/2016,3,0,SJ,25,1483.5350097818848,1474.3193379823128,SF,32,1582.2505918723368,1591.4662636719088,A,L,0.24160524813537643
110,56,201605060OTT,0,2016,05/06/2016,4,0,OTT,31,1456.6827062988034,1473.0683946560446,MTL,24,1490.4706797796835,1474.0849914224423,H,W,0.5941497307889435
111,56,201605060OTT,1,2016,05/06/2016,4,0,MTL,24,1490.4706797796835,1474.0849914224423,OTT,31,1456.6827062988034,1473.0683946560446,A,L,0.4058502692110565
112,57,201605060SEA,0,2016,05/06/2016,7,0,SEA,23,1533.462409882588,1540.944807046145,SD,19,1444.8176304842757,1437.3352333207188,H,W,0.7476139060154494
113,57,201605060SEA,1,2016,05/06/2016,6,0,SD,19,1444.8176304842757,1437.3352333207188,SEA,23,1533.462409882588,1540.944807046145,A,L,0.2523860939845506
114,58,201605070PIT,0,2016,05/07/2016,5,0,PIT,31,1546.596107292157,1555.9030699860648,CIN,14,1383.4791830747256,1374.1722203808179,H,W,0.8197452906926849
115,58,201605070PIT,1,2016,05/07/2016,8,0,CIN,14,1383.4791830747256,1374.1722203808179,PIT,31,1546.596107292157,1555.9030699860648,A,L,0.18025470930731513
116,59,201605070NSH,0,2016,05/07/2016,5,0,NSH,24,1465.6419488109652,1449.9271760633094,CHA,26,1439.345152070363,1455.0599248180188,H,L,0.6741516076368208
117,59,201605070NSH,1,2016,05/07/2016,6,0,CHA,26,1439.345152070363,1455.0599248180188,NSH,24,1465.6419488109652,1449.9271760633094,A,W,0.3258483923631792
118,60,201605070DAL,0,2016,05/07/2016,6,0,DAL,24,1611.814073110555,1619.272593357869,AUS,16,1459.046988797996,1451.588468550682,H,W,0.8107735430809487
119,60,201605070DAL,1,2016,05/07/2016,6,0,AUS,16,1459.046988797996,1451.588468550682,DAL,24,1611.814073110555,1619.272593357869,A,L,0.18922645691905127
120,61,2016050700DC,0,2016,05/07/2016,5,0,DC,23,1533.250118680429,1538.0194571157,NY,22,1533.0733764983913,1528.3040380631203,H,W,0.6402993590788214
121,61,2016050700DC,1,2016,05/07/2016,4,0,NY,22,1533.0733764983913,1528.3040380631203,DC,23,1533.250118680429,1538.0194571157,A,L,0.3597006409211786
122,62,201605070MIN,0,2016,05/07/2016,6,0,MIN,24,1540.1563579085089,1544.1882123969367,IND,23,1500.582968016145,1496.5511135277172,H,W,0.6907117755599718
123,62,201605070MIN,1,2016,05/07/2016,5,0,IND,23,1500.582968016145,1496.5511135277172,MIN,24,1540.1563579085089,1544.1882123969367,A,L,0.30928822444002824
124,63,201605070DET,0,2016,05/07/2016,5,0,DET,13,1478.145543164806,1454.3149203013684,CHI,18,1481.3849454201118,1505.2155682835494,H,L,0.635757830722744
125,63,201605070DET,1,2016,05/07/2016,4,0,CHI,18,1481.3849454201118,1505.2155682835494,DET,13,1478.145543164806,1454.3149203013684,A,W,0.36424216927725594
126,64,201605070MTL,0,2016,05/07/2016,5,0,MTL,31,1474.0849914224423,1489.1723035487355,TOR,27,1555.1321183404864,1540.0448062141932,H,W,0.5272483538411431
127,64,201605070MTL,1,2016,05/07/2016,5,0,TOR,27,1555.1321183404864,1540.0448062141932,MTL,31,1474.0849914224423,1489.1723035487355,A,L,0.4727516461588569
